data,preco,volume,symbol
2024-11-12,3243.8,973215.7285,ETHUSDT
2024-11-13,3187.16,919686.3747,ETHUSDT
2024-11-14,3058.82,605780.6662,ETHUSDT
2024-11-15,3090.01,519623.6317,ETHUSDT
2024-11-16,3132.87,423639.1573,ETHUSDT
2024-11-17,3076.0,449818.9575,ETHUSDT
2024-11-18,3207.8,640658.4357,ETHUSDT
2024-11-19,3107.44,500112.0194,ETHUSDT
2024-11-20,3069.97,503607.8336,ETHUSDT
2024-11-21,3355.81,974923.3035,ETHUSDT
2024-11-22,3327.78,603273.7093,ETHUSDT
2024-11-23,3393.91,721024.0009,ETHUSDT
2024-11-24,3361.2,479098.0921,ETHUSDT
2024-11-25,3414.49,949330.37,ETHUSDT
2024-11-26,3324.73,672367.1503,ETHUSDT
2024-11-27,3653.28,754573.6485,ETHUSDT
2024-11-28,3578.79,560976.425,ETHUSDT
2024-11-29,3592.21,425493.2449,ETHUSDT
2024-11-30,3703.6,503684.7485,ETHUSDT
2024-12-01,3707.61,429089.2633,ETHUSDT
2024-12-02,3643.42,737130.569,ETHUSDT
2024-12-03,3614.51,678400.2032,ETHUSDT
2024-12-04,3837.8,968744.0399,ETHUSDT
2024-12-05,3785.2,946493.276,ETHUSDT
2024-12-06,3998.87,803855.1146,ETHUSDT
2024-12-07,3996.22,283920.02,ETHUSDT
2024-12-08,4004.15,251362.1685,ETHUSDT
2024-12-09,3712.0,939642.2001,ETHUSDT
2024-12-10,3628.25,942206.0337,ETHUSDT
2024-12-11,3831.81,461818.7801,ETHUSDT
2024-12-12,3881.61,572098.6343,ETHUSDT
2024-12-13,3906.8,387765.6873,ETHUSDT
2024-12-14,3870.29,265538.9479,ETHUSDT
2024-12-15,3959.09,253833.2141,ETHUSDT
2024-12-16,3986.24,673351.0723,ETHUSDT
2024-12-17,3893.01,450825.9861,ETHUSDT
2024-12-18,3626.8,722505.0618,ETHUSDT
2024-12-19,3417.01,1078153.4851,ETHUSDT
2024-12-20,3472.21,1332783.731,ETHUSDT
2024-12-21,3338.92,475275.82,ETHUSDT
2024-12-22,3281.83,361920.2495,ETHUSDT
2024-12-23,3422.53,488253.41,ETHUSDT
2024-12-24,3493.18,315723.6763,ETHUSDT
2024-12-25,3497.0,219846.0452,ETHUSDT
2024-12-26,3335.05,310170.1719,ETHUSDT
2024-12-27,3333.51,342529.6038,ETHUSDT
2024-12-28,3404.0,175963.613,ETHUSDT
2024-12-29,3356.48,156256.8819,ETHUSDT
2024-12-30,3361.84,420794.6476,ETHUSDT
2024-12-31,3337.78,303053.1685,ETHUSDT
2025-01-01,3360.38,190238.5861,ETHUSDT
2025-01-02,3455.67,338632.8874,ETHUSDT
2025-01-03,3609.01,334041.0604,ETHUSDT
2025-01-04,3656.88,229266.3133,ETHUSDT
2025-01-05,3635.99,155444.1741,ETHUSDT
2025-01-06,3687.45,329642.3648,ETHUSDT
2025-01-07,3381.31,541543.2874,ETHUSDT
2025-01-08,3327.29,584749.9627,ETHUSDT
2025-01-09,3219.2,501818.4247,ETHUSDT
2025-01-10,3267.04,454142.1333,ETHUSDT
2025-01-11,3282.83,151679.7487,ETHUSDT
